room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name
entire home/apt,lisbon,campo de ourique,18.0,4.5,4,1.0,49.0,"private spacious flat, balcony, parking, tram 28"
entire home/apt,lisbon,campolide,11.0,5.0,4,2.0,60.0,lisbon spot
entire home/apt,lisbon,campo de ourique,14.0,4.5,2,0.0,42.0,cozy studio in rato for solo travel
entire home/apt,lisbon,arroios,3.0,5.0,5,3.0,57.0,family house with baby room
entire home/apt,lisbon,carnide,29.0,4.5,3,1.0,45.0,"budget studio,wi-fi+interior garage"
entire home/apt,lisbon,arroios,4.0,4.5,3,1.0,53.0,"sunny and cosy flat, great location"
entire home/apt,lisbon,santa maria maior,90.0,4.5,2,1.0,43.0,cozy studio apartment- alfama
entire home/apt,lisbon,olivais,116.0,4.5,5,2.0,56.0,lisboa junto à expo/gare do oriente
entire home/apt,lisbon,alcântara,6.0,4.5,5,2.0,38.0,lovely apartment close to the river
entire home/apt,lisbon,são vicente,12.0,4.5,6,2.0,37.0,"riverside alfama-panthéon, 3 rooms"
entire home/apt,lisbon,penha de frança,2.0,0.0,4,1.0,23.0,charming 1 bedroom + cozy balcony+ comfy bed sofa
entire home/apt,lisbon,ajuda,37.0,4.0,4,1.0,36.0,charming studio house in lisbon
entire home/apt,lisbon,belém,7.0,5.0,2,0.0,30.0,apqhome - maat
entire home/apt,lisbon,misericórdia,1.0,0.0,4,1.0,36.0,cosy flat in the heart of lisbon
entire home/apt,lisbon,arroios,7.0,3.0,2,1.0,27.0,"nice, cozy  t1 flat"
entire home/apt,lisbon,misericórdia,2.0,0.0,2,1.0,36.0,"casa da mansarda, lisbon apartment"
entire home/apt,lisbon,são vicente,4.0,5.0,2,2.0,36.0,quiet and bright apartment
entire home/apt,lisbon,santa maria maior,14.0,4.5,4,1.0,10.0,flat castelo/mouraria (river view)
entire home/apt,lisbon,são vicente,7.0,5.0,2,1.0,37.0,"""casa do campo de santa clara"" : two-roomed flat"
entire home/apt,lisbon,santa maria maior,1.0,0.0,2,0.0,38.0,"traditional & cozy flat, river view"
entire home/apt,lisbon,são vicente,33.0,4.0,2,0.0,36.0,studio 2 dans alfama
entire home/apt,lisbon,arroios,85.0,5.0,5,2.0,37.0,lisbon belvedere intendente balcony
entire home/apt,lisbon,estrela,79.0,4.5,2,0.0,37.0,cozy studio for 2 pedestrian street
entire home/apt,lisbon,alcântara,32.0,4.5,4,1.0,38.0,casa do giestal
entire home/apt,lisbon,santa maria maior,69.0,4.5,5,2.0,34.0,lisbon belvedere intendente terrace
entire home/apt,lisbon,belém,3.0,5.0,4,1.0,38.0,casa cor de rosa
entire home/apt,lisbon,alcântara,68.0,4.5,2,1.0,36.0,cosy apartment near belém
entire home/apt,lisbon,misericórdia,54.0,4.5,2,2.0,35.0,bairro alto - lisbon.
entire home/apt,lisbon,penha de frança,13.0,4.0,4,1.0,30.0,typical neighborhood central flat
entire home/apt,lisbon,misericórdia,33.0,4.0,2,1.0,35.0,flat for 2 in the heart of lisbon
entire home/apt,lisbon,são vicente,50.0,4.5,2,0.0,36.0,studio in alfama
entire home/apt,lisbon,penha de frança,1.0,0.0,4,1.0,27.0,light and comfortable apartment
entire home/apt,lisbon,são vicente,1.0,0.0,2,1.0,34.0,c'era una volta una gatta
